household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT0247,4,continuous,1,6,16,72,yes_vacc,2,2,yes_card,2,2,NA,no,2,Mara,0
RCT0246,4,continuous,1,6,16,72,yes_vacc,1,3,yes_card,1,1,NA,no,1,Mara,0
RCT0245,2,continuous,1,6,16,72,yes_vacc,1,1,yes_card,1,1,NA,no,1,Mara,0
RCT0244,7,continuous,1,6,16,72,yes_vacc,3,4,yes_card,3,3,NA,no,3,Mara,0
RCT0243,1,continuous,1,6,16,72,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0242,2,continuous,1,6,16,72,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0241,1,continuous,1,6,16,72,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0920,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0920,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0920,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0920,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0919,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0919,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0919,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0919,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0918,3,pulse,0,10,36,8,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0918,3,pulse,0,10,36,8,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0918,3,pulse,0,10,36,8,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0918,3,pulse,0,10,36,8,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0916,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0916,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0915,3,pulse,0,10,36,8,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,2
RCT0915,3,pulse,0,10,36,8,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,2
RCT0914,3,pulse,0,10,36,8,yes_vacc,3,0,yes_card,3,0,3,yes,3,Mara,2
RCT0914,3,pulse,0,10,36,8,yes_vacc,3,0,yes_card,3,0,3,yes,3,Mara,2
RCT0913,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0913,1,pulse,0,10,36,8,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0912,1,pulse,0,10,36,8,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0912,1,pulse,0,10,36,8,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0911,1,pulse,0,10,36,8,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0911,1,pulse,0,10,36,8,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT1272,3,pulse,0,3,26,78,yes_vacc,3,2,yes_card,3,1,NA,no,1,Mara,1
RCT1271,1,pulse,0,3,26,78,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1270,1,pulse,0,3,26,78,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1269,1,pulse,0,3,26,78,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1302,2,pulse,0,3,24,71,yes_vacc,1,0,yes_card,2,1,NA,no,1,Mara,1
